id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1,bfsz
71,Matrix A,Hadoop,2.0,0.705462539767861,0.743575178303556,0.660527431417283,2-to-1,0.2600304357101411,-0.18458051520405025,10825.0,0.0,14.93931994266046,40.0
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.505433260338382,0.40768507062652964,4-to-1,0.057974960767972934,-0.22558854882741938,12501.0,1.0,17.752948532055697,40.0
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7548334585318939,0.6159416820633578,1-to-1,0.1351200338975724,0.08617793967713827,27654.0,1.0,16.54489589551893,40.0
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6016357640993555,0.4937984565404442,2-to-1,0.0553643172446381,-0.12742810769075844,16705.0,0.0,17.35664470447471,40.0
75,Matrix A,WebServer,1.0,0.34691401838273683,0.36514808084673667,0.32560842479408364,2-to-1,1.0568380067481193,-0.12958890837560072,7035.0,0.0,7.6468301701665125,40.0
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5186675108957174,0.333296443444509,4-to-1,0.15258266521277236,-0.28072534509193386,29803.0,1.0,19.33186821685783,40.0
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.4751979463886576,0.3877600007051552,1-to-1,0.051545419759618655,-0.011277534641023124,23766.0,1.0,18.672249457601254,40.0
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5244935387673176,0.33703606342571235,4-to-1,0.5176349586325244,-0.07021997929919474,9843.0,1.0,14.611858269744122,40.0
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5498071678071677,0.2705596877818729,4-to-1,0.07233459832686834,-0.04569218195810677,9245.0,0.0,13.268509386924581,40.0
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7748544133669228,0.651067264100649,1-to-1,0.28212831000187283,-0.12553389983353833,10805.0,0.0,11.532646650049909,40.0
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6071164236968127,0.2627250522264428,2-to-1,0.07406876118104534,-0.06297425506936852,20528.0,1.0,13.907358739118544,40.0
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.3972237873824608,0.33376793895379164,1-to-1,0.06944426137097004,0.0005130371499288412,25762.0,0.0,6.410939607007657,40.0
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5653000142756848,0.2446293165104797,2-to-1,0.09117823769594713,-0.018628587269577123,17529.0,0.0,12.691497014876393,40.0
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6578943818213364,0.4227632833926664,4-to-1,0.2336962448759305,-0.17275579891155016,25899.0,1.0,5.500477677319461,40.0
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6360154856238712,0.5596482312672021,1-to-1,0.15893054920901512,-0.10725832731440248,19680.0,1.0,6.140553603999248,40.0
86,Matrix C,WebServer,2.0,0.308329956610627,0.3215686795100847,0.15397256124575898,4-to-1,1.4599509631587644,0.047895118703738714,5831.0,1.0,5.533181256048275,40.0
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5790179773110095,0.25056566153141907,2-to-1,0.10131712728232392,-0.1229238412713407,8325.0,1.0,16.94196396971197,40.0
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5096258664357194,0.21526888186782514,2-to-1,0.06003782591428884,-0.07928690010160144,19091.0,1.0,15.920565079255534,40.0
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.5941731523301393,0.4778489329218192,1-to-1,0.13288761130673868,-0.0119468921408184,13728.0,1.0,6.185619300294853,40.0
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.5915351908614042,0.4970342707730313,1-to-1,0.07659259365380475,-0.06570810858108478,16781.0,1.0,15.116148753283648,40.0
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38276271040085785,0.16168115887800572,2-to-1,0.5998334083306383,-0.10395411932604594,6639.0,0.0,11.542602672341253,40.0
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38561344399812586,0.3425454010615902,2-to-1,0.09582011252309053,-0.04955822381593837,20508.0,0.0,13.191258241812193,40.0
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.36397848980699427,0.2958959855962494,4-to-1,0.07675908119607114,-0.04044955223482285,27666.0,1.0,17.878317194521678,40.0
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7263454247233023,0.6034177311426818,2-to-1,0.20154819920549377,-0.010488221372559147,11872.0,0.0,11.514087409020375,40.0
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29452862858243345,0.127455042076386,2-to-1,0.07236023316084814,0.024175012143737688,11759.0,0.0,6.3972012570394,40.0
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.3947527188822978,0.3473542168557043,1-to-1,0.4680763390109232,-0.1552223334618715,8602.0,0.0,13.182947478623609,40.0
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7161470141138513,0.5949453135195738,2-to-1,0.1316519588596069,0.023417890080672802,18109.0,0.0,10.79224758934501,40.0
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.3070014641576233,0.25795848385574277,1-to-1,0.03901747414998946,-0.10369517922287262,19550.0,1.0,9.01277373586774,40.0
99,Matrix A,WebServer,2.0,0.3360553892659176,0.35335799626348496,0.2979543837884375,1-to-1,0.04518458237896449,-0.20389184505308602,16593.0,0.0,18.180084167691383,40.0
