id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.47811989362648677,0.3868721334651286,1-to-1,0.00907638962462338,0.08627849361058444,0.00907638962462338,0.08627849361058444,0.001834567869166485,-0.0034808981282005427,0.0026604094093301417,-0.0048099324913601724
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5300720929439636,0.3368745499101208,4-to-1,0.2037597705564633,0.0824896235371703,0.21228098852697225,0.04845865856655266,0.050050938664931946,-0.028207570947376817,0.3863947953788747,-0.505039677586619
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5516208764435674,0.2710841567315764,4-to-1,0.2449569828486271,0.026605349220626004,0.2449569828486271,0.026605349220626004,0.38456640110783313,-0.06393810282576386,1.9574185213396547,-0.34097706358212243
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.7740497108534419,0.651529997574079,1-to-1,1.0905322435229072,0.18008307060826684,1.1928497006540324,0.1988695893467776,0.4274609015682044,-0.15196190837780474,2.149402279202484,-0.24621875030489998
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6104894643393427,0.2637037540467938,2-to-1,0.5778134678277773,0.1308470492854025,0.5778134678277773,0.1308470492854025,0.5390369444051153,-0.12756513386891616,2.6573030723605413,-0.26622393109463693
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.39647693909093,0.3337215766817767,1-to-1,0.17555260383370286,0.023600007346695637,0.145654493249556,0.03129400809791584,0.0932426687819695,0.0026483179011268544,0.576877526945087,-0.4292590183374288
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5684355918996463,0.2455383889157126,2-to-1,0.4679602901909343,0.10944788252824111,0.4679602901909343,0.10944788252824111,0.3903188625876167,-0.08020148167758384,2.2578759710050345,-0.2919551553761597
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6631040261905273,0.4221215372118995,4-to-1,0.17410312965594907,0.059436036951908716,0.12419797935175492,0.014263646653141306,0.06517673203103344,-0.037887079490461946,0.5688289051495612,-0.5402054519933953
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6334046121023982,0.5592281663734591,1-to-1,0.6903325411346622,0.283975623626363,0.5865228345120215,0.2789081970692152,0.38116275519199766,-0.09760322354140984,1.2518318978773677,-0.23240399127428202
86,Matrix C,WebServer,2.0,0.308329956610627,0.3261340101772696,0.15406203184980846,4-to-1,0.2494648334536631,0.044243209997485405,0.2494648334536631,0.044243209997485405,0.09082885304604421,-0.01816176049563926,1.0016059640751716,-0.7009901263750796
