id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,p99__ns3__mlsys
150,Matrix C,WebServer,2.0,0.7165477704140878,0.7472038145304855,0.3577739139658861,4-to-1,0.17741345101401818,0.07346679421776114,-0.7931709559650374
151,Matrix C,Hadoop,1.0,0.42582408589101306,0.4406933372094711,0.17964989280447616,1-to-1,0.07327966641245706,0.024947047718490212,-0.7601133697184103
152,Matrix B,WebServer,1.0,0.43017195695609256,0.4349436357383501,0.35070167769765287,4-to-1,0.1189324867225128,0.08095048308831243,-0.33213353994203404
153,Matrix A,WebServer,2.0,0.25206033685414797,0.26498500936800023,0.2234375507164583,1-to-1,0.059631196125586164,0.06184323980725578,-0.16786526069930494
154,Matrix B,CacheFollower,2.0,0.6012296386065648,0.6050576598054195,0.493725059146096,1-to-1,0.2940878797547273,0.0610365316194217,-0.27149454793350564
155,Matrix C,Hadoop,1.0,0.3144567544030674,0.32543333855182993,0.13266382640734145,1-to-1,0.04982225887151184,0.02708919007576068,-0.7273093236063257
156,Matrix C,Hadoop,2.0,0.710536714562492,0.733936788977702,0.3126632960422931,2-to-1,0.16198189418947384,0.09217182422475713,-0.7928996217162418
157,Matrix B,CacheFollower,2.0,0.5464247734227365,0.5498849216869754,0.45682164511075923,2-to-1,0.25162387370611505,0.049975126275851975,-0.32017102925069596
158,Matrix B,WebServer,2.0,0.46445782633635463,0.4726581003635687,0.38099519718506386,1-to-1,0.12739961191047394,0.06655343850143051,-0.35003267086494666
159,Matrix A,CacheFollower,1.0,0.35483917027680567,0.3565264194897374,0.33126369789229204,2-to-1,0.10515702194560927,0.05137636030557558,-0.27678642578991813
160,Matrix C,WebServer,1.0,0.46012220978164114,0.48075413271826317,0.20307360898864502,2-to-1,0.0801024325374412,0.058643559338871325,-0.7292532392868227
161,Matrix C,Hadoop,1.0,0.4869788383872355,0.5039891926865204,0.2054526283845894,1-to-1,0.08514908820086411,0.026912973877596003,-0.7604429102634226
162,Matrix B,WebServer,2.0,0.35743736808149074,0.3637530714224227,0.2932101937057288,1-to-1,0.07787689443807758,0.0707576138124545,-0.30880662380491253
163,Matrix A,Hadoop,2.0,0.2607629057674832,0.27485549090962674,0.24415768129982313,2-to-1,0.0587092526237562,0.034893192401327225,-0.33818447807654245
164,Matrix A,CacheFollower,1.0,0.2862987474854347,0.2864041407146816,0.1864971485661687,4-to-1,0.046521977173491914,0.08806439147890177,-0.18931858866901205
165,Matrix C,Hadoop,1.0,0.4976038462949421,0.5149861709071919,0.20993557784617842,1-to-1,0.08772063962036683,0.026955679860426233,-0.7613170156931501
166,Matrix A,Hadoop,2.0,0.4377477482944125,0.46142371803852084,0.38770880372969035,1-to-1,0.12321766455338848,0.038540087132011576,-0.1554463084127549
167,Matrix C,Hadoop,2.0,0.3739547223548296,0.3862690434314813,0.18646113743542864,4-to-1,0.06747328770968722,0.03143594427281259,-0.7543052499598217
168,Matrix B,WebServer,2.0,0.35186803852402815,0.35808954139462273,0.2939054374238471,2-to-1,0.07866133243534083,0.07380833945286477,-0.3469744639834516
169,Matrix B,CacheFollower,1.0,0.49779345206767084,0.5012415547882461,0.4164108418623386,2-to-1,0.13909554305763203,0.017046094347812946,-0.33804565232698786
