id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
105,Matrix C,CacheFollower,2.0,0.5642609863149368,0.5712964409707462,0.28075185873847935,4-to-1,0.07972400781526964,0.04146788298517319,2.5878299963641758,0.20523122727562274,0.7488952068059601,-0.06022700059665729
106,Matrix A,CacheFollower,1.0,0.6016512914975161,0.6020173869139135,0.5610885176499717,2-to-1,0.3738002046396712,0.11592992812209355,0.3969600951232847,-0.021777010915055198,1133.7836134743122,3592.5918111617293
107,Matrix B,WebServer,2.0,0.34208557771505443,0.3488388165056442,0.2801999401778374,4-to-1,0.08049287249992601,0.06729034644751523,0.25068094750235337,-0.6952302077249554,0.25984305074788167,-0.7523461051956166
108,Matrix B,CacheFollower,1.0,0.6422320509290859,0.6506117346740194,0.5264444194746727,1-to-1,0.2501925667486778,0.05197116701267285,1.195910828183802,-0.7729011824444951,1.2077600107835607,-0.7819356311699375
109,Matrix A,WebServer,2.0,0.4584110642684848,0.47698740471575585,0.428811543336383,2-to-1,0.1931356764856902,0.08291230093158272,0.3223595241944898,0.11772819839241143,17.129378928753948,91.24123386379763
110,Matrix C,CacheFollower,1.0,0.6698157913107089,0.6779318492061198,0.29283726535392746,2-to-1,0.07532333227295794,0.05477502385026716,3.3394962310357865,0.19730158550542853,1.0355650714979021,0.06516351542228875
111,Matrix B,WebServer,1.0,0.4433183807243915,0.45253726063678196,0.36349535765273877,4-to-1,0.12755329495102272,0.07101649308753928,0.3638818816376914,-0.7049230528574543,0.3761148249206064,-0.7769334826408187
112,Matrix C,Hadoop,1.0,0.737859350819907,0.7875956564051263,0.36816666926612485,4-to-1,0.1787256099491199,0.10392241208954166,4.539213086170849,0.1422902870690444,0.4983174566822942,0.05508746443054158
113,Matrix B,CacheFollower,2.0,0.6796948012432781,0.6814034434788582,0.553823974957805,4-to-1,0.7656661441278667,0.22813797812788597,1.1596203401613314,-0.7683478558718051,1.1713005308094457,-0.773736411802275
114,Matrix A,CacheFollower,1.0,0.3101633401350973,0.3103364326954615,0.28923784060472907,2-to-1,0.08486797850617024,0.05535262223787112,0.11432507495814108,0.13276063544348196,231.98513650989278,1403.0227644483853
