id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
105,Matrix C,CacheFollower,2.0,0.5642609863149368,0.5838616023793577,0.2819312848543142,4-to-1,0.07711092391793381,0.046142318092670755,0.044024545976153406,0.004618421188040986
106,Matrix A,CacheFollower,1.0,0.6016512914975161,0.6074184066441012,0.5567699327778194,2-to-1,0.3673486093891945,0.11570110480846638,0.391744127380288,0.13777397676060754
107,Matrix B,WebServer,2.0,0.34208557771505443,0.36452098363911245,0.27884634769687794,4-to-1,0.07713652736899614,0.06059539270081171,0.07583321296706139,0.060980324625757
108,Matrix B,CacheFollower,1.0,0.6422320509290859,0.6405839710174316,0.5244579720025538,1-to-1,0.2406134878863573,0.045660294942543034,0.23840470308852593,0.04732398344952163
109,Matrix A,WebServer,2.0,0.4584110642684848,0.504113903847977,0.42442209446910945,2-to-1,0.1823390685684595,0.09007374224225737,0.1602901555730041,0.08506772369190949
110,Matrix C,CacheFollower,1.0,0.6698157913107089,0.6876637541694717,0.2921370629490726,2-to-1,0.07397393290000061,0.06099351632046992,0.189983056809967,0.23835467619912273
111,Matrix B,WebServer,1.0,0.4433183807243915,0.47041546569185533,0.3598521234422025,4-to-1,0.12145268971475859,0.06671626662972568,0.12190976733613333,0.06921858765086886
112,Matrix C,Hadoop,1.0,0.737859350819907,0.8113842048482215,0.3691288849619798,4-to-1,0.16394729218809032,0.039263743974478314,0.17788970032626766,0.041471878831831184
113,Matrix B,CacheFollower,2.0,0.6796948012432781,0.6880190630941255,0.5547820332838773,4-to-1,0.7535006061110943,0.2215284607234685,0.7494609924035018,0.22517269845983948
114,Matrix A,CacheFollower,1.0,0.3101633401350973,0.31314089355258545,0.2870302123672238,2-to-1,0.08444230862151739,0.05532920497790876,0.08386140864300598,0.05569153827724996
115,Matrix A,WebServer,1.0,0.6349799138648079,0.658976639147106,0.4121228860072721,4-to-1,0.33217239372660673,0.2555181694330985,0.35667342266385116,0.28343205257528925
116,Matrix C,WebServer,1.0,0.6780269746651542,0.7529969700072418,0.3407049350480166,4-to-1,0.1463890540074763,0.03899537460819767,0.1899486918237802,0.09305728102202628
117,Matrix A,Hadoop,1.0,0.582595013654567,0.6059510937361255,0.3792692704485772,4-to-1,0.23361002035681797,0.09591634133793707,0.23163347022656508,0.10131965389687432
118,Matrix A,WebServer,1.0,0.7472724190064007,0.7755646197267448,0.48503681370428164,4-to-1,0.6629586164162377,0.5191837949381304,0.6959200990218661,0.5441302318720409
119,Matrix C,Hadoop,2.0,0.49326275395570457,0.5467108125123443,0.2129482524267293,1-to-1,0.09381430032667708,0.030460267433542777,0.13845625339001066,0.059541841247255756
120,Matrix B,WebServer,1.0,0.461828272407843,0.49010368181989344,0.37491295156444643,4-to-1,0.13599560802165156,0.06965013694287003,0.13526158432983895,0.07233887013835426
121,Matrix A,WebServer,2.0,0.49493995903119375,0.5443239885201893,0.45827565057398517,2-to-1,0.22100786282322002,0.09871486392135696,0.1970293784005488,0.09999469097502305
122,Matrix A,CacheFollower,2.0,0.6731542124437904,0.6785480113540554,0.5890352491126738,1-to-1,0.5298230707413933,0.14046669401518125,0.5623361252613274,0.15997359396407496
123,Matrix A,CacheFollower,1.0,0.6950740059962296,0.7017819425785855,0.6432651376593136,2-to-1,0.612659945079961,0.14481127853810152,0.6471181544374979,0.1551903365229649
124,Matrix C,CacheFollower,1.0,0.3308091745833327,0.3396297729695243,0.13801858403674294,1-to-1,0.012887163216591993,-0.02077814568115799,0.03840240168345782,-0.19461004237864252
125,Matrix A,Hadoop,2.0,0.30602592697297515,0.34001726856440556,0.28426043496894565,2-to-1,0.07281344554316956,0.02963792875923953,0.07294393770772836,0.028293818935907506
126,Matrix C,Hadoop,2.0,0.4185834677713861,0.46392028270529984,0.21105529699943787,4-to-1,0.07325427224743271,0.027709656947289777,0.10530143894832204,0.05444451599710574
127,Matrix B,Hadoop,2.0,0.49824011701615384,0.5043642717291504,0.40720860974650835,1-to-1,0.13310697933375007,0.03978830340391326,0.12312116562080563,0.037005212000292324
128,Matrix C,CacheFollower,1.0,0.45664101386204586,0.46881514319697387,0.22637779907009015,4-to-1,0.02676271452542776,0.05962720880941182,0.03367155286409671,-0.08018405742665809
